用户数/10秒,寻呼用户比例,下行好点用户比例,下行中点用户比例,平均所有业务完成时延30,平均所有业务RRC建立时延,上行资源利用率（不包括预占资源）,下行资源利用率（不包括预占资源）,用户上行平均BSR(bit),用户下行平均BSR(bit),最佳方案/0旧1新
80,0,0.766,0.202,581.15,370.675,0.167592367,0.126464844,1112.4,216,1
80,0.15,0.766,0.202,881.3875,394.9,0.164857992,0.155859375,1009.2,408,1
80,0.2125,0.766,0.202,1007.189873,395.5063291,0.159851074,0.162597656,966.2,488,0
80,0.2875,0.766,0.202,1133.4875,416.5625,0.169643148,0.182617188,914.6,584,1
80,0.35,0.766,0.202,1179.434211,402.9210526,0.155596924,0.18203125,871.6,664,0
80,0.075,0.766,0.202,703.3375,388.7875,0.165574137,0.141308594,1060.8,312,1
80,0,0.766,0.202,563.9625,358.45,0.164597575,0.125976563,1112.4,216,1
80,0.15,0.766,0.202,737.1898734,374.6455696,0.161590576,0.152832031,1009.2,408,1
80,0.2125,0.766,0.202,936.95,380.0125,0.164630127,0.165820313,966.2,488,0
80,0.2875,0.766,0.202,1145.8375,390.3625,0.164434814,0.179882813,914.6,584,1
80,0.35,0.766,0.202,1310.45,392.7375,0.163262939,0.196582031,871.6,664,0
80,0.075,0.766,0.202,658.175,370.7375,0.163621012,0.140625,1060.8,312,1
111,0,0.767142857,0.197142857,1134.630631,659.027027,0.322755941,0.210253906,1108.18018,216,1
111,0.144144144,0.767142857,0.197142857,1320.579439,586.9813084,0.301782227,0.239746094,1009.009009,400.5045045,0
111,0.216216216,0.767142857,0.197142857,1441.259259,569.8055556,0.299367269,0.272363281,959.4234234,492.7567568,0
111,0.288288288,0.767142857,0.197142857,1466.528846,546.6730769,0.296929932,0.267480469,909.8378378,585.009009,0
111,0.351351351,0.767142857,0.197142857,1454.088235,502.8235294,0.274228923,0.270117188,866.4504505,665.7297297,0
111,0.072072072,0.767142857,0.197142857,1212.296296,640.1203704,0.294952393,0.216796875,1058.594595,308.2522523,0
111,0,0.767142857,0.197142857,1134.135135,641.8648649,0.310823568,0.210742188,1108.18018,216,1
111,0.144144144,0.767142857,0.197142857,1319.846847,585.8828829,0.305094401,0.259765625,1009.009009,400.5045045,0
111,0.216216216,0.767142857,0.197142857,1476.252252,600.2252252,0.314583333,0.281152344,959.4234234,492.7567568,0
111,0.288288288,0.767142857,0.197142857,1542.354545,523.9363636,0.287642415,0.287890625,909.8378378,585.009009,0
111,0.351351351,0.767142857,0.197142857,1484.925926,506.9537037,0.288059489,0.298046875,866.4504505,665.7297297,0
111,0.072072072,0.767142857,0.197142857,1247.396396,612.6756757,0.313802083,0.234667969,1058.594595,308.2522523,0
143,0,0.774444444,0.188888889,1028.216783,615.5734266,0.318513997,0.224511719,1109.482517,216,1
143,0.06993007,0.774444444,0.188888889,1010.899281,547.0863309,0.300054932,0.23125,1061.370629,305.5104895,0
143,0.13986014,0.774444444,0.188888889,1104.007194,507.2661871,0.301432292,0.264355469,1013.258741,395.020979,0
143,0.20979021,0.774444444,0.188888889,1186.780303,511.8484848,0.29568278,0.269140625,965.1468531,484.5314685,0
143,0.27972028,0.775555556,0.187777778,1394.852941,464.3529412,0.293784587,0.313574219,917.034965,574.041958,0
143,0.34965035,0.774444444,0.188888889,1566.267176,446.1068702,0.286612956,0.315820313,868.9230769,663.5524476,0
143,0,0.774444444,0.188888889,1002.706294,553.2797203,0.319350179,0.228515625,1109.482517,216,1
143,0.06993007,0.774444444,0.188888889,1096.804196,548.3846154,0.312514242,0.253222656,1061.370629,305.5104895,0
143,0.13986014,0.774444444,0.188888889,1053.304965,495.6808511,0.304246012,0.272851563,1013.258741,395.020979,0
143,0.20979021,0.774444444,0.188888889,1161.352113,467.9366197,0.303281657,0.298046875,965.1468531,484.5314685,0
143,0.27972028,0.774444444,0.188888889,1270.514286,440.8857143,0.301257324,0.3140625,917.034965,574.041958,0
143,0.34965035,0.774444444,0.188888889,1571.783217,454.7692308,0.30585734,0.357714844,868.9230769,663.5524476,0
175,0,0.765454545,0.2,1379.371429,791.12,0.450242106,0.292871094,1108.845714,216,1
175,0.074285714,0.765454545,0.2,1371.739645,759.8402367,0.420159912,0.296972656,1057.737143,311.0857143,0
175,0.142857143,0.765454545,0.2,1533.192771,735.5301205,0.406441243,0.328222656,1010.56,398.8571429,0
175,0.211428571,0.765454545,0.2,1619.703704,666.2345679,0.406231689,0.349023438,963.3828571,486.6285714,0
175,0.28,0.766363636,0.199090909,1674.993827,611.7222222,0.384177653,0.3640625,916.2057143,574.4,0
175,0.354285714,0.766363636,0.199090909,1765.709677,581.2193548,0.373642985,0.370703125,865.0971429,669.4857143,0
175,0,0.765454545,0.2,1687.851429,843.6228571,0.432240804,0.291699219,1108.845714,216,1
175,0.074285714,0.765454545,0.2,1665.131429,757.6171429,0.431378174,0.327832031,1057.737143,311.0857143,0
175,0.142857143,0.765454545,0.2,1628.125,724.8452381,0.392028809,0.334375,1010.56,398.8571429,0
175,0.211428571,0.765454545,0.2,1638.174699,692.0662651,0.406095378,0.362597656,963.3828571,486.6285714,0
175,0.28,0.765454545,0.2,1915.42515,587.2275449,0.4090861,0.397070313,916.2057143,574.4,0
175,0.354285714,0.765454545,0.2,1895.891566,591.3253012,0.389078776,0.412402344,865.0971429,669.4857143,0
206,0,0.793076923,0.163846154,1493.966019,893.684466,0.467075602,0.329003906,1107.106796,216,1
206,0.072815534,0.793076923,0.163846154,1469.949495,899.8434343,0.44197998,0.33359375,1057.009709,309.2038835,0
206,0.140776699,0.793846154,0.163076923,1430.331579,709.9105263,0.40119222,0.334765625,1010.252427,396.1941748,0
206,0.213592233,0.793076923,0.163846154,1459.904255,618.1542553,0.39777832,0.370800781,960.1553398,489.3980583,1
206,0.281553398,0.793076923,0.163846154,1553.344262,558.0874317,0.37639974,0.378125,913.3980583,576.3883495,0
206,0.354368932,0.793846154,0.163076923,1482.349398,530.2590361,0.360961914,0.366796875,863.3009709,669.592233,0
206,0,0.793076923,0.163846154,2069.708738,1004.757282,0.450870768,0.33203125,1107.106796,216,1
206,0.072815534,0.793076923,0.163846154,1980.965686,868.4754902,0.445320638,0.374804688,1057.009709,309.2038835,0
206,0.140776699,0.793076923,0.163846154,1609.366834,678.718593,0.421085612,0.383984375,1010.252427,396.1941748,0
206,0.213592233,0.793076923,0.163846154,1499.411765,608.0374332,0.390631104,0.379589844,960.1553398,489.3980583,1
206,0.281553398,0.793076923,0.163846154,1623.336842,549.8736842,0.413173421,0.429589844,913.3980583,576.3883495,0
206,0.354368932,0.793076923,0.163846154,1613.934066,486.3076923,0.389786784,0.429589844,863.3009709,669.592233,0
238,0,0.783333333,0.178,1897.747899,1214.180672,0.580216471,0.385742188,1108.033613,216,1
238,0.071428571,0.783333333,0.178,1902.878378,1057.972973,0.550813802,0.368261719,1058.890756,307.4285714,0
238,0.142857143,0.783333333,0.178,1793.724771,933.1009174,0.521864827,0.387597656,1009.747899,398.8571429,0
238,0.210084034,0.784,0.177333333,2019.764423,1025.807692,0.510951742,0.390820313,963.4957983,484.907563,0
238,0.281512605,0.784,0.177333333,1925.391089,845.970297,0.494246419,0.403515625,914.3529412,576.3361345,0
238,0.352941176,0.785333333,0.176,1812.236559,735.2473118,0.441192627,0.390917969,865.210084,667.7647059,0
238,0,0.783333333,0.178,3050.739496,1446.268908,0.557794189,0.387890625,1108.033613,216,1
238,0.071428571,0.783333333,0.178,2649.412017,1179.811159,0.555116781,0.4109375,1058.890756,307.4285714,0
238,0.142857143,0.783333333,0.178,2622.257511,1103.914163,0.555670166,0.458203125,1009.747899,398.8571429,0
238,0.210084034,0.784,0.177333333,2474.061674,979.0352423,0.52703654,0.476757813,963.4957983,484.907563,0
238,0.281512605,0.783333333,0.178,2580.481818,958.4181818,0.518825277,0.472167969,914.3529412,576.3361345,0
238,0.352941176,0.783333333,0.178,2374.098131,720.0327103,0.494862874,0.488574219,865.210084,667.7647059,0
143,0.174825175,0.775555556,0.187777778,1298.773723,556.1240876,0.293878174,0.273730469,989.2027972,439.7762238,0
143,0.174825175,0.774444444,0.188888889,1213.035211,492.0704225,0.304787191,0.292285156,989.2027972,439.7762238,0
143,0.174825175,0.681111111,0.218888889,2213.227723,1152.762376,0.31932373,0.523730469,989.2027972,439.7762238,1
143,0.174825175,0.674444444,0.218888889,4181.765957,1385.053191,0.350730387,0.595703125,989.2027972,439.7762238,1
143,0.174825175,0.674444444,0.193333333,3520.628205,1590.807692,0.286883545,0.591308594,989.2027972,439.7762238,1
143,0.174825175,0.671111111,0.193333333,4163.318182,1384.318182,0.237473551,0.58203125,989.2027972,439.7762238,1
143,0.174825175,0.753333333,0.203333333,1277.618321,559.5267176,0.296445719,0.27265625,989.2027972,439.7762238,0
143,0.174825175,0.752222222,0.202222222,1287.65,530.8642857,0.335235596,0.32734375,989.2027972,439.7762238,0
143,0.174825175,0.725555556,0.215555556,1518.669291,658.9685039,0.321549479,0.336621094,989.2027972,439.7762238,0
143,0.174825175,0.721111111,0.217777778,1916.283688,624.8368794,0.346059163,0.400292969,989.2027972,439.7762238,0
143,0.174825175,0.695555556,0.227777778,1875.814159,948.5486726,0.331215413,0.380664063,989.2027972,439.7762238,0
143,0.174825175,0.685555556,0.23,3037.061069,1072.183206,0.407432048,0.529101563,989.2027972,439.7762238,0
159,0.176100629,0.787,0.174,1425.386207,648.8896552,0.365490723,0.285351563,987.9748428,441.408805,0
159,0.176100629,0.787,0.174,1666.6,647.6516129,0.433500163,0.354980469,987.9748428,441.408805,0
159,0.176100629,0.709,0.175,2738.778846,1344.721154,0.414274089,0.59140625,987.9748428,441.408805,1
159,0.176100629,0.702,0.18,3396.3875,1272.95,0.359368896,0.584179688,987.9748428,441.408805,1
159,0.176100629,0.702,0.176,2876.285714,1411.454545,0.302323405,0.591308594,987.9748428,441.408805,1
159,0.176100629,0.699,0.179,4147.659574,1822.744681,0.24874471,0.568554688,987.9748428,441.408805,1
159,0.176100629,0.764,0.188,1704.972222,783.0486111,0.418684896,0.351269531,987.9748428,441.408805,0
159,0.176100629,0.764,0.187,1691.666667,676.6858974,0.426106771,0.388574219,987.9748428,441.408805,0
159,0.176100629,0.735,0.201,1834.088889,939.6962963,0.420314535,0.370019531,987.9748428,441.408805,0
159,0.176100629,0.733,0.2,1897.881944,820.1805556,0.457397461,0.4546875,987.9748428,441.408805,0
159,0.176100629,0.724,0.187,2024.732759,1077,0.438926188,0.445898438,987.9748428,441.408805,0
159,0.176100629,0.717,0.191,3185.330827,1083.37594,0.464794922,0.558203125,987.9748428,441.408805,0
175,0.177142857,0.766363636,0.199090909,1655.852564,813.3653846,0.362320964,0.285546875,986.9714286,442.7428571,0
175,0.177142857,0.765454545,0.2,1784.195402,710.637931,0.418849691,0.379296875,986.9714286,442.7428571,0
175,0.177142857,0.691818182,0.198181818,2538.707547,1199.433962,0.45581665,0.588183594,986.9714286,442.7428571,1
175,0.177142857,0.682727273,0.2,2606.541667,1108.958333,0.353918457,0.582910156,986.9714286,442.7428571,1
175,0.177142857,0.695454545,0.194545455,3479.9875,1611.6375,0.328120931,0.601074219,986.9714286,442.7428571,1
175,0.177142857,0.688181818,0.187272727,3181.034483,1511.482759,0.223667399,0.581445313,986.9714286,442.7428571,1
175,0.177142857,0.746363636,0.21,1776.245283,792.5283019,0.394281006,0.347851563,986.9714286,442.7428571,0
175,0.177142857,0.744545455,0.21,1790.508876,711.6094675,0.429736328,0.405664063,986.9714286,442.7428571,0
175,0.177142857,0.726363636,0.205454545,2069.72,1047.826667,0.41457723,0.405175781,986.9714286,442.7428571,0
175,0.177142857,0.722727273,0.204545455,2741.91716,1038.272189,0.477783203,0.548046875,986.9714286,442.7428571,0
175,0.177142857,0.71,0.2,2537.462121,1329.977273,0.463861084,0.500390625,986.9714286,442.7428571,1
175,0.177142857,0.700909091,0.199090909,3082.453125,1195.59375,0.474719238,0.593261719,986.9714286,442.7428571,1
80,0.175,0.414,0.41,2215.460526,1202.618421,0.345192464,0.24453125,992,440,0
80,0.175,0.642,0.326,926.9625,405.6375,0.165740967,0.159570313,992,440,0
80,0.175,0.566,0.31,1777.636364,895.0649351,0.325242106,0.234179688,992,440,0
80,0.175,0.414,0.41,2200.934211,1147.526316,0.349220785,0.247070313,992,440,0
80,0.175,0.642,0.326,850.275,385.6875,0.1646993,0.157128906,992,440,0
80,0.175,0.564,0.312,1736.518987,888.7848101,0.322391764,0.242089844,992,440,0
80,0.175,0.574,0.28,2612.863636,1241.181818,0.229211426,0.446972656,992,440,0
