city,citycode
南充,511300
资阳,512000
广元,510800
成都,510100
重庆,500000
达州,511700
凉山彝族自治州,513400
巴中,511900
德阳,510600
广安,511600
毕节,520500
宿州,341300
九江,360400
绵阳,510700
抚州,361000
宜春,360900
内江,511000
阜阳,341200
乐山,511100
信阳,411500
长沙,430100
六安,341500
遂宁,510900
上饶,361100
鹰潭,360600
黔西南布依族苗族自治州,522300
黄山,341000
安康,610900
商丘,411400
六盘水,520200
淮南,340400
铜仁,520600
北京,110000
榆林,610800
泸州,510500
临汾,141000
亳州,341600
赣州,360700
阿坝藏族羌族自治州,513200
眉山,511400
驻马店,411700
许昌,411000
怀化,431200
池州,341700
安庆,340800
西安,610100
黔东南苗族侗族自治州,522600
滁州,341100
吉安,360800
甘孜藏族自治州,513300
周口,411600
平顶山,410400
遵义,520300
岳阳,430600
株洲,430200
吕梁,141100
黄冈,421100
安阳,410500
海东,630200
汉中,610700
新乡,410700
湘潭,430300
忻州,140900
蚌埠,340300
十堰,420300
荆州,421000
南昌,360100
新余,360500
濮阳,410900
湘西土家族苗族自治州,433100
中卫,640500
晋中,140700
景德镇,360200
西宁,630100
郑州,410100
固原,640400
合肥,340100
宣城,341800
荆门,420800
随州,421300
仙桃,429004
潜江,429005
南阳,411300
三门峡,411200
洛阳,410300
晋城,140500
黄石,420200
商洛,611000
延安,610600
宝鸡,610300
宜宾,511500
恩施土家族苗族自治州,422800
孝感,420900
雅安,511800
朔州,140600
渭南,610500
咸阳,610400
自贡,510300
攀枝花,510400
贵阳,520100
银川,640100
漯河,411100
石嘴山,640200
长治,140400
阳泉,140300
鄂州,420700
宜昌,420500
武汉,420100
焦作,410800
淮北,340600
咸宁,421200
萍乡,360300
安顺,520400
黔南布依族苗族自治州,522700
娄底,431300
大同,140200
太原,140100
衡阳,430400
运城,140800
马鞍山,340500
襄阳,420600
黄南藏族自治州,632300
鹤壁,410600
铜陵,340700
海西蒙古族藏族自治州,632800
果洛藏族自治州,632600
玉树藏族自治州,632700
芜湖,340200
神农架林区,429021
铜川,610200
海北藏族自治州,632200
海南藏族自治州,632500
张家界,430800
邵阳,430500
龙岩,350800
泉州,350500
南平,350700
福州,350100
三明,350400
宁德,350900
莆田,350300
漳州,350600
厦门,350200
陇南,621200
白银,620400
临夏回族自治州,622900
张掖,620700
平凉,620800
兰州,620100
天水,620500
酒泉,620900
庆阳,621000
定西,621100
甘南藏族自治州,623000
武威,620600
金昌,620300
嘉峪关,620200
通辽,150500
巴彦淖尔,150800
赤峰,150400
呼伦贝尔,150700
呼和浩特,150100
乌兰察布,150900
锡林郭勒盟,152500
鄂尔多斯,150600
兴安盟,152200
乌海,150300
包头,150200
阿拉善盟,152900
玉林,450900
贵港,450800
来宾,451300
钦州,450700
柳州,450200
河池,451200
南宁,450100
百色,451000
梧州,450400
贺州,451100
崇左,451400
桂林,450300
防城港,450600
北海,450500
承德,130800
保定,130600
唐山,130200
秦皇岛,130300
沧州,130900
石家庄,130100
张家口,130700
邯郸,130400
邢台,130500
衡水,131100
廊坊,131000
哈尔滨,230100
绥化,231200
齐齐哈尔,230200
伊春,230700
大庆,230600
牡丹江,231000
佳木斯,230800
鸡西,230300
黑河,231100
鹤岗,230400
双鸭山,230500
四平,220300
长春,220100
通化,220500
吉林,220200
延边朝鲜族自治州,222400
辽源,220400
白山,220600
宿迁,321300
泰州,321200
淮安,320800
徐州,320300
连云港,320700
扬州,321000
无锡,320200
盐城,320900
南通,320600
镇江,321100
南京,320100
常州,320400
阜新,210900
朝阳,211300
葫芦岛,211400
鞍山,210300
