基金代码,基金名称,1月(%) (总回报率),3月(%) (总回报率),6月(%) (总回报率),1年(%) (年化回报率),2年(%) (年化回报率),今年以来(%) (总回报率),设立以来(%)(总回报率),类型
050011,博时信用债券A/B,-1.11,-2.37,-0.31,-1.11,-1.06,3.25,144.53,债券型
002721,国寿安保尊利增强回报债券C,-0.6,-1.49,-1.59,-2.27,-1.14,-2.27,-0.9,债券型
610108,信达澳银信用债债券C,-2.51,-3.72,-5.89,-6.78,-2.69,-5.48,8.7,债券型
000004,中海可转换债券债券C,-4.81,-7.18,-11.84,-22.9,-14.55,-17.69,-25.58,债券型
000016,华夏纯债债券C,0.83,1.34,2.98,5.41,1.61,5.87,24.01,债券型
000676,中海惠祥分级债券B,-2.84,2.67,8.87,9.48,-1.74,10.98,17.19,债券型
001752,华商信用增强债券C,-1.64,-2.21,-2.21,-20.57,-11.13,-19.5,-15.8,债券型
000239,华安年年盈定期开放债券A,0.55,2.57,4.35,4.14,-0.41,5.54,8.99,债券型
485005,工银增强收益债券B,-0.94,-1.91,-0.92,-1.77,-1.66,-1.02,98.88,债券型
003342,工银瑞信国债纯债债券A,0.5,0.84,3.17,7.03,0,7.3,3.86,债券型
630003,华商收益增强债券A,0.87,1.31,1.75,-8.42,-7.21,-7.55,76.12,债券型
161826,银华中证转债指数增强分级,-1.75,-2.16,-6.93,-9.88,-7.85,-4.6,-17.17,债券型
000053,鹏华实业债纯债债券,2.01,3.2,6.19,6.72,1.49,8.34,44.78,债券型
519730,交银定期支付月月丰债券A,0.22,-1.37,-1.44,-1.52,-0.8,-1.8,36.5,债券型
291007,泰信债券增强收益C,-0.49,-0.48,-0.52,1.01,-0.14,1.45,33.03,债券型
000130,大成景兴信用债债券A,0.41,1.66,4.88,8.59,3.83,8.98,55.39,债券型
000501,华富恒富18个月定期开放债券C,1.35,2.18,2.93,0,0,5.84,5.95,债券型
166903,民生加银平稳增利定期开放债券C,0.53,1.45,2.98,5.53,3.76,5.65,46.72,债券型
