('183.129.244.17', '8080')
('112.83.230.141', '80')
('112.83.230.141', '80')
('112.83.230.141', '80')
('47.105.129.25', '80')
('47.105.129.25', '80')
('47.105.129.25', '80')
('47.105.129.25', '80')
('47.105.129.25', '80')
('47.105.129.25', '80')
('47.105.129.25', '80')
('47.105.129.25', '80')
('47.105.129.25', '80')
('47.105.129.25', '80')
('47.105.129.25', '80')
('47.105.129.25', '80')
('47.105.129.25', '80')
('47.105.129.25', '80')
('47.105.129.25', '80')
('47.105.129.25', '80')
('47.105.129.25', '80')
('47.105.129.25', '80')
('47.105.129.25', '80')
('47.105.129.25', '80')
('47.105.129.25', '80')
('47.105.129.25', '80')
('47.105.129.25', '80')
('47.105.129.25', '80')
('47.105.129.25', '80')
('47.105.129.25', '80')
('47.105.129.25', '80')
('47.105.129.25', '80')
('47.105.129.25', '80')
('47.105.129.25', '80')
('47.105.129.25', '80')
('47.105.129.25', '80')
('47.105.129.25', '80')
('47.105.129.25', '80')
('47.105.129.25', '80')
('47.105.129.25', '80')
('39.137.77.66', '80')
('39.137.77.66', '80')
('39.137.77.66', '80')
('39.137.77.66', '80')
('39.137.77.66', '80')
('39.137.77.66', '80')
('39.137.77.66', '80')
('39.137.77.66', '80')
('39.137.77.66', '80')
('39.137.77.66', '80')
('39.137.77.66', '80')
('39.137.77.66', '80')
('39.137.77.66', '80')
('39.137.77.66', '80')
('39.137.77.66', '80')
('39.137.77.66', '80')
('39.137.77.66', '80')
('39.137.77.66', '80')
('39.137.77.66', '80')
('39.137.77.66', '8080')
('39.137.77.66', '8080')
('39.137.77.66', '8080')
('39.137.77.66', '8080')
('39.137.77.66', '8080')
('39.137.77.66', '8080')
('39.137.77.66', '8080')
('39.137.77.66', '8080')
('39.137.77.66', '8080')
('39.137.77.66', '8080')
('39.137.77.66', '8080')
('39.137.77.66', '8080')
('39.137.77.66', '8080')
('39.137.77.66', '8080')
('39.137.77.66', '8080')
('39.137.77.66', '8080')
('39.137.77.66', '8080')
('39.137.77.66', '8080')
('39.137.77.66', '8080')
('121.41.120.245', '80')
('121.41.120.245', '80')
('121.41.120.245', '80')
('121.41.120.245', '80')
('121.41.120.245', '80')
('121.41.120.245', '80')
('121.41.120.245', '80')
('121.41.120.245', '80')
('121.41.120.245', '80')
('121.41.120.245', '80')
('121.41.120.245', '80')
('121.41.120.245', '80')
('121.41.120.245', '80')
('121.41.120.245', '80')
('121.41.120.245', '80')
('121.41.120.245', '80')
('121.41.120.245', '80')
('121.41.120.245', '80')
('121.41.120.245', '80')
('121.41.120.245', '80')
('121.41.120.245', '80')
('121.41.120.245', '80')
('121.41.120.245', '80')
('121.41.120.245', '80')
('121.41.120.245', '80')
('121.41.120.245', '80')
('121.41.120.245', '80')
('121.41.120.245', '80')
('121.41.120.245', '80')
('121.41.120.245', '80')
('121.41.120.245', '80')
('121.41.120.245', '80')
('121.41.120.245', '80')
('121.41.120.245', '80')
('121.41.120.245', '80')
('121.41.120.245', '80')
('121.41.120.245', '80')
('39.135.11.95', '80')
('39.135.11.95', '80')
('39.135.11.95', '80')
('39.135.11.95', '80')
('39.135.11.95', '80')
('39.135.11.95', '80')
('39.135.11.95', '80')
('39.135.11.95', '80')
('39.135.11.95', '80')
('39.135.11.95', '80')
('39.135.11.95', '80')
('39.135.11.95', '80')
('39.135.11.95', '80')
('39.135.11.95', '80')
('39.135.11.95', '8080')
('39.135.11.95', '8080')
('39.135.11.95', '8080')
('39.135.11.95', '8080')
('39.135.11.95', '8080')
('39.135.11.95', '8080')
('39.135.11.95', '8080')
('39.135.11.95', '8080')
('39.135.11.95', '8080')
('39.135.11.95', '8080')
('39.135.11.95', '8080')
('39.135.11.95', '8080')
('39.135.11.95', '8080')
('39.135.11.95', '8080')
('47.105.90.190', '80')
('47.105.90.190', '80')
('47.105.90.190', '80')
('47.105.90.190', '80')
('47.105.90.190', '80')
